date,unemployment_rate,year,month,lag_1,lag_3,lag_6,lag_12,rolling_3,rolling_6,rolling_12
2023-02-01,3.6,2023,2,3.5,3.6,3.6,3.8,3.5333333333333328,3.5500000000000003,3.5833333333333335
2023-03-01,3.5,2023,3,3.6,3.5,3.5,3.7,3.5333333333333328,3.5500000000000003,3.5666666666666664
2023-04-01,3.4,2023,4,3.5,3.5,3.6,3.7,3.4999999999999996,3.516666666666666,3.5416666666666665
2023-05-01,3.6,2023,5,3.4,3.6,3.6,3.6,3.4999999999999996,3.516666666666667,3.5416666666666665
2023-06-01,3.6,2023,6,3.6,3.5,3.5,3.6,3.5333333333333328,3.5333333333333337,3.5416666666666665
2023-07-01,3.5,2023,7,3.6,3.4,3.5,3.5,3.566666666666666,3.5333333333333337,3.5416666666666665
2023-08-01,3.7,2023,8,3.5,3.6,3.6,3.6,3.5999999999999996,3.5500000000000003,3.5499999999999994
2023-09-01,3.8,2023,9,3.7,3.6,3.5,3.5,3.666666666666666,3.6,3.5749999999999997
2023-10-01,3.9,2023,10,3.8,3.5,3.4,3.6,3.7999999999999994,3.6833333333333336,3.6
2023-11-01,3.7,2023,11,3.9,3.7,3.6,3.6,3.7999999999999994,3.6999999999999997,3.608333333333334
2023-12-01,3.8,2023,12,3.7,3.8,3.6,3.5,3.7999999999999994,3.733333333333333,3.6333333333333333
2024-01-01,3.7,2024,1,3.8,3.9,3.5,3.5,3.7333333333333325,3.766666666666666,3.6500000000000004
2024-02-01,3.9,2024,2,3.7,3.7,3.7,3.6,3.7999999999999994,3.8000000000000003,3.6750000000000003
2024-03-01,3.9,2024,3,3.9,3.8,3.8,3.5,3.833333333333332,3.8166666666666664,3.7083333333333335
2024-04-01,3.9,2024,4,3.9,3.7,3.9,3.4,3.9,3.8166666666666664,3.75
2024-05-01,4.0,2024,5,3.9,3.9,3.7,3.6,3.9333333333333322,3.866666666666667,3.783333333333333
2024-06-01,4.1,2024,6,4.0,3.9,3.8,3.6,3.9999999999999987,3.9166666666666665,3.8249999999999997
2024-07-01,4.2,2024,7,4.1,3.9,3.7,3.5,4.099999999999999,4.0,3.8833333333333333
2024-08-01,4.2,2024,8,4.2,4.0,3.9,3.7,4.166666666666666,4.05,3.9250000000000003
2024-09-01,4.1,2024,9,4.2,4.1,3.9,3.8,4.166666666666666,4.083333333333333,3.9499999999999997
2024-10-01,4.1,2024,10,4.1,4.2,3.9,3.9,4.133333333333332,4.116666666666667,3.966666666666667
2024-11-01,4.2,2024,11,4.1,4.2,4.0,3.7,4.133333333333332,4.15,4.008333333333333
2024-12-01,4.1,2024,12,4.2,4.1,4.1,3.8,4.133333333333333,4.1499999999999995,4.033333333333333
